ft_0,ft_1,class
-1.689000320805666755e+00,-1.774746193359216795e+00,0.000000000000000000e+00
-1.023044595936058565e+00,-8.765637608299367001e-01,1.000000000000000000e+00
1.430706361002254123e+00,4.115472078137393241e-01,1.000000000000000000e+00
-1.135506155040682419e+00,-1.397435035177324592e+00,0.000000000000000000e+00
1.054821826254450201e+00,2.699401679758152373e+00,0.000000000000000000e+00
2.418541695998289498e+00,-7.043756890525987302e-01,0.000000000000000000e+00
-6.006731550099304595e-01,4.066438143288237383e-01,0.000000000000000000e+00
-1.296739605410803353e+00,-1.162014847694187614e+00,1.000000000000000000e+00
-2.560638599910644020e-01,-1.389072682882042997e+00,1.000000000000000000e+00
1.593053036408335288e+00,-2.932641317247250412e-01,0.000000000000000000e+00
5.739531798209522861e-01,1.324620268489372643e+00,1.000000000000000000e+00
-6.211226628717736453e-01,6.557302348134369518e-01,0.000000000000000000e+00
-3.345214649457887157e-01,2.055737431479700769e-02,0.000000000000000000e+00
-1.934634546479818973e-01,-1.869255825420758702e-02,1.000000000000000000e+00
7.687970659580577459e-01,2.009750882115400650e+00,0.000000000000000000e+00
-6.555370087506220411e-01,-1.343681792624856208e-01,1.000000000000000000e+00
-5.162869589268062054e-01,1.126756282263118525e+00,1.000000000000000000e+00
2.060671603298634746e+00,6.467681701563331442e-01,0.000000000000000000e+00
1.515639736031874074e+00,-8.337093091707173942e-01,1.000000000000000000e+00
1.317567157331148431e-01,8.715246996924163048e-01,1.000000000000000000e+00
-1.772179998819890745e+00,-2.214390055299688409e-01,0.000000000000000000e+00
2.284760961605254020e-02,-2.665684567423127205e-01,0.000000000000000000e+00
-4.217163233348800166e-01,-3.396845890332855777e+00,0.000000000000000000e+00
-1.173409474441993172e+00,2.365467293594153197e+00,0.000000000000000000e+00
-1.006722028263824287e+00,-1.164395470230348728e+00,1.000000000000000000e+00
-2.216456596268728818e-01,-1.307770424001428289e+00,0.000000000000000000e+00
-6.466627652041143093e-02,-5.148283187418455364e-01,1.000000000000000000e+00
3.838467016430682777e-01,-6.710962447454519308e-01,0.000000000000000000e+00
-3.850493206546098390e-01,-1.165153672650784733e+00,1.000000000000000000e+00
1.967000796573194765e-01,-4.426095415597048333e-01,1.000000000000000000e+00
1.770139646623849039e+00,2.395453687684177435e+00,0.000000000000000000e+00
3.216272397806630434e-01,-1.511725523147142036e+00,1.000000000000000000e+00
-1.060603402014719698e+00,8.776929988628321411e-01,1.000000000000000000e+00
1.204351911730839886e+00,-1.574865442920174496e+00,0.000000000000000000e+00
1.523849437821449770e+00,9.445740233789999829e-01,1.000000000000000000e+00
1.151350320369421976e+00,7.819531728634268042e-01,0.000000000000000000e+00
5.655089555855107308e-01,-4.627130185290662667e-01,0.000000000000000000e+00
1.012962065150901037e+00,-1.086286516569299865e+00,0.000000000000000000e+00
9.518696856858098743e-01,-5.003480378586213639e-01,0.000000000000000000e+00
-1.549954479948087327e+00,1.138898386511583150e-01,1.000000000000000000e+00
3.237672099703310935e-01,-5.056160479378584149e-01,1.000000000000000000e+00
1.642332702409536604e-01,-2.107926237622925303e+00,0.000000000000000000e+00
-1.104326534936562965e+00,6.686609248675324801e-01,0.000000000000000000e+00
9.915029646237193128e-02,-7.978559170566754122e-02,1.000000000000000000e+00
1.257471067067727488e-01,-9.264543515132654949e-01,0.000000000000000000e+00
1.507137335882182405e-01,7.040338785009365996e-02,1.000000000000000000e+00
-8.673343410573083334e-01,5.438981557249101817e-01,0.000000000000000000e+00
-6.926748215352038218e-02,-4.035709651709593060e-01,0.000000000000000000e+00
-2.465418606232424370e+00,-1.205453997685533407e+00,0.000000000000000000e+00
5.468493094862934001e-01,2.287247912087683188e-01,1.000000000000000000e+00
1.138189281752482351e+00,-4.382115880961781618e-02,1.000000000000000000e+00
6.800259675023740957e-01,8.611061125976839925e-01,1.000000000000000000e+00
3.940078298265776713e-01,-4.341286639399355995e-01,0.000000000000000000e+00
2.550150857506849889e-01,1.766005615487423741e-01,1.000000000000000000e+00
-1.090324712883666392e+00,-1.276839433232640486e-01,1.000000000000000000e+00
-3.590193284083549874e-01,-6.368216267018345089e-01,1.000000000000000000e+00
-8.029513597819056825e-01,1.264153877424525563e+00,1.000000000000000000e+00
-4.145323571888370057e-02,-1.439010659354733157e+00,1.000000000000000000e+00
-2.272576360486815161e-01,-1.163758786091789732e+00,0.000000000000000000e+00
-6.506697409032753399e-01,-9.505738632712283920e-01,0.000000000000000000e+00
-8.485060366643832896e-01,-3.999521006256049338e-01,1.000000000000000000e+00
